City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
124,Balykshi,47.0667,51.8667,13.0,76,40,8.0,KZ,2023-04-13 23:01:27
125,Chapais,49.7834,-74.8492,10.88,80,100,5.42,CA,2023-04-13 23:01:27
126,Kenai,60.5544,-151.2583,3.05,89,100,5.14,US,2023-04-13 23:01:28
127,Qasigiannguit,68.8193,-51.1922,-3.86,92,99,1.6,GL,2023-04-13 23:01:28
128,Olafsvik,64.8945,-23.7142,3.96,69,96,2.8,IS,2023-04-13 23:01:29
129,Baykit,61.67,96.37,-13.4,91,100,1.54,RU,2023-04-13 23:01:29
130,Ismailia,30.6043,32.2723,16.55,66,0,2.67,EG,2023-04-13 23:01:29
131,Kijang,35.2442,129.2139,10.85,58,100,3.14,KR,2023-04-13 23:01:29
132,Talnakh,69.4865,88.3972,-27.11,97,100,3.65,RU,2023-04-13 23:01:29
133,Cockburn Town,21.4612,-71.1419,25.78,80,50,6.8,TC,2023-04-13 23:01:30
134,Villanueva,15.3167,-88.0,30.02,45,20,3.09,HN,2023-04-13 23:01:30
135,Airai,-8.9266,125.4092,18.28,87,21,0.68,TL,2023-04-13 23:01:31
136,Ancud,-41.8697,-73.8203,11.56,79,39,1.6,CL,2023-04-13 23:01:32
137,Allahabad,25.45,81.85,29.86,20,54,1.88,IN,2023-04-13 23:01:32
138,Meybod,32.2501,54.0166,20.01,31,0,9.28,IR,2023-04-13 23:01:32
139,Cabo San Lucas,22.8909,-109.9124,23.92,59,63,6.69,MX,2023-04-13 22:55:21
140,Middelburg,-25.7751,29.4648,16.25,49,1,2.7,ZA,2023-04-13 23:01:33
141,Banda Aceh,5.5577,95.3222,26.52,82,94,2.21,ID,2023-04-13 23:01:33
142,Tura,25.5198,90.2201,22.18,28,72,1.29,IN,2023-04-13 23:01:33
143,Ylivieska,64.0833,24.55,-3.4,90,7,4.01,FI,2023-04-13 23:01:33
144,Maniitsoq,65.4167,-52.9,-0.96,79,49,1.66,GL,2023-04-13 23:01:34
145,Piacabucu,-10.4056,-36.4344,23.36,79,99,2.26,BR,2023-04-13 23:01:36
146,Husavik,66.0449,-17.3389,1.55,90,96,1.27,IS,2023-04-13 23:01:37
147,Yurimaguas,-5.9,-76.0833,25.64,86,98,0.9,PE,2023-04-13 23:01:37
148,Iralaya,15.0,-83.2333,27.3,76,59,4.32,HN,2023-04-13 23:01:37
149,Ouadda,8.0777,22.4007,21.23,85,100,2.86,CF,2023-04-13 23:01:37
150,Severo-Kurilsk,50.6789,156.125,1.35,94,8,4.96,RU,2023-04-13 23:01:38
151,Roma,43.2128,-75.4557,27.08,32,0,3.6,US,2023-04-13 23:00:23
152,The Valley,18.217,-63.0578,26.92,73,40,5.14,AI,2023-04-13 23:01:38
153,Paliyad,22.25,71.5667,27.77,37,100,5.22,IN,2023-04-13 23:01:38
154,Pampa,35.5362,-100.9599,29.08,21,22,11.83,US,2023-04-13 23:01:39
155,Labuhan,-6.8844,112.2051,25.01,87,94,3.45,ID,2023-04-13 23:01:39
156,Luderitz,-26.6481,15.1594,16.32,61,26,6.95,NA,2023-04-13 23:01:39
157,Vostok,46.4856,135.8833,-0.6,79,73,1.21,RU,2023-04-13 23:01:39
158,Hobart,-42.8794,147.3294,14.03,87,75,2.57,AU,2023-04-13 23:00:36
159,Rundu,-17.9333,19.7667,22.01,54,57,2.04,NA,2023-04-13 23:01:40
160,Mamakan,57.8161,114.0028,-12.89,94,24,0.92,RU,2023-04-13 23:01:40
161,Vao,-22.6667,167.4833,23.46,92,100,5.8,NC,2023-04-13 23:01:40
162,Mayor Pablo Lagerenza,-19.9309,-60.7718,23.42,92,96,4.34,PY,2023-04-13 23:01:40
